Species,SRR8100127,SRR8100131,SRR8100143,SRR8100147,SRR8100150,SRR8100152,SRR8100156,SRR8100160,SRR8100161,SRR8100165,SRR8100169,SRR8100173,SRR8100177,SRR8100181,SRR8100185,SRR8100187,SRR8100194,SRR8100198,SRR8100204,SRR8100208,SRR8100214,SRR8100216,SRR8100218,SRR8100223,SRR8100228,SRR8100229,SRR8100233,SRR8100243,SRR8100247,SRR8100249,SRR8100253,SRR8100257,SRR8100262,SRR8100266,SRR8100270,SRR8100274,SRR8100277,SRR8100280,SRR8100284,SRR8100289,SRR8100293,SRR8100297,SRR8100303,SRR8100307,SRR8100311,SRR8100315,SRR8100320,SRR8100324,SRR8100326,SRR8100328,SRR8100332,SRR8100336,SRR8100340,SRR8100350,SRR8100352,SRR8100356,SRR8100363,SRR8100367,SRR8100369,SRR8100371,SRR8100373,SRR8100377,SRR8100381,SRR8100383,SRR8100387,SRR8100394,SRR8100398,SRR8100400,SRR8100403,SRR8100407,SRR8100412,SRR8100415,SRR8100419,SRR8100421,SRR8100423,SRR8100427,SRR8100434,SRR8100438,SRR8100442,SRR8100446,SRR8100450,SRR8100454,SRR8100456,SRR8100458,SRR8100462,SRR8100465,SRR8100469,SRR8100473,SRR8100477,SRR8100481,SRR8100483,SRR8100486,SRR8100490,SRR8100498,SRR8100502,SRR8100508,SRR8100512,SRR8100517,SRR8100520,SRR8100521,SRR8100524,SRR8100529,SRR8100531,SRR8100535,SRR8100546,SRR8100550,SRR8100554,SRR8100555,SRR8100558,SRR7142468,SRR7142469,SRR7142470,SRR7142478,SRR7142479,SRR7142486,SRR7142487,SRR7142490,SRR7142491,SRR7142492,SRR7142493,SRR7142494,SRR7142495,SRR7142503,SRR7142504,SRR7142508,SRR7142511,SRR7142512,SRR7142513,SRR7142518,SRR7142524,SRR7142471,SRR7142472,SRR7142473,SRR7142474,SRR7142475,SRR7142489,SRR7142496,SRR7142501,SRR7142509,SRR7142510,SRR7142514,SRR7142515
ASV_000024,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000029,0,0,0,0,4,0,0,29,0,0,0,0,3,0,0,0,259,0,0,36,0,9,0,0,0,0,93,0,0,119,345,0,0,0,0,37,0,0,0,0,0,8,0,0,0,0,0,1122,0,0,0,0,0,0,0,0,151,2,245,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,64,0,332,172,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000037,72,0,187,0,28,71,23,57,93,113,93,90,956,0,225,669,115,115,222,272,53,0,114,0,84,262,355,323,0,107,313,141,282,13,352,182,15,133,389,111,244,121,72,579,25,347,195,70,61,33,108,92,232,335,53,189,254,364,214,0,501,379,170,116,194,0,76,202,80,183,566,65,337,0,278,202,106,161,349,252,70,247,269,72,79,0,0,49,29,93,290,360,74,0,140,82,57,607,196,0,0,135,0,103,0,1295,289,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
